Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Hyundai Elite i20,Chennai,41233,Petrol,0,2019,645000
Maruti Suzuki Swift,Chennai,50141,Petrol,1,2016,529699
Maruti Suzuki Ertiga,Bangalore,86033,Diesel,0,2018,1081899
Fiat Linea Dynamic,Kolkata,30000,Petrol,1,2012,256000
Honda City ZX,Bangalore,86924,Petrol,0,2008,290000
Volkswagen Polo GT,Bangalore,68870,Petrol,0,2016,735000
Maruti Suzuki XL6,Bangalore,22292,Petrol,2,2019,1244799
Honda Amaze ,Bangalore,44013,Petrol,1,2014,474399
Maruti Suzuki Wagon,Bangalore,96250,Petrol,2,2016,389399
Maruti Suzuki Swift,Chennai,59839,Petrol,2,2017,562399
Hyundai Grand i10,Chennai,49693,Petrol,2,2015,446699
Renault Kwid RXT,Bangalore,22223,Petrol,1,2017,439999
Honda Amaze ,Bangalore,8030,Petrol,2,2021,918999
Volkswagen Polo ,Bangalore,38780,Petrol,2,2016,815799
Maruti Suzuki Vitara,Bangalore,31919,Diesel,2,2018,896799
Hyundai i10 Sportz,Bangalore,47564,Petrol,2,2015,411399
Hyundai Grand i10,Bangalore,42836,Petrol,2,2013,498999
Renault Kwid RXT,Chennai,6000,Petrol,0,2020,470000
Tata Indica ,Chennai,85000,Diesel,0,2007,69000
Mahindra TUV300 T8,Madurai,27000,Diesel,0,2018,925000
Skoda Rapid 1.5,Chennai,145000,Diesel,0,2013,0
Maruti Suzuki Ertiga,Chennai,35000,Petrol,0,2020,1090000
Toyota Etios Liva,Delhi,135000,Diesel,0,2013,300000
Tata Aria Prestige,Bangalore,115000,Diesel,0,2012,450000
Ford Figo ,Bangalore,50488,Petrol,2,2015,357999
Maruti Suzuki Ignis,Pune,12916,Petrol,1,2018,462599
Hyundai Elite i20,Bangalore,30731,Petrol,1,2016,695199
Maruti Suzuki Eeco,Bangalore,8825,Petrol,2,2019,490399
Renault Kwid RxL,Bangalore,21627,Petrol,3,2016,340099
Maruti Suzuki Ertiga,Bangalore,5580,Petrol,2,2020,997899
Hyundai i10 Sportz,Bangalore,41371,Petrol,1,2013,351599
Maruti Suzuki Swift,Bangalore,42313,Petrol,1,2016,603799
Hyundai Elite i20,Bangalore,74913,Petrol,2,2016,599799
Maruti Suzuki Wagon,Bangalore,74760,Petrol,2,2018,456099
Ford Ecosport ,Bangalore,34045,Diesel,2,2019,993699
Maruti Suzuki Ritz,Bangalore,143147,Petrol,2,2010,312299
Hyundai Venue ,Bangalore,28149,Petrol,1,2019,1221799
Maruti Suzuki Swift,Bangalore,38049,Petrol,2,2015,522999
Hyundai EON Magna,Bangalore,78895,Petrol,2,2014,323399
Hyundai Grand i10,Bangalore,27027,Petrol,2,2015,510799
Mahindra XUV 500,Pune,66000,Diesel,0,2013,750000
Hyundai Getz GLS,Bangalore,82000,Petrol,0,2005,155000
Maruti Suzuki Swift,Chennai,57000,Petrol,0,2011,350000
Honda Amaze 1.5,Pune,71000,Diesel,0,2014,410000
Hyundai Eon Era,Pune,47000,CNG,0,2014,275000
Hyundai Grand i10,Pune,37000,Petrol,0,2017,465000
Maruti Suzuki Zen,Bangalore,73000,Petrol,0,2007,145000
Hyundai Getz GLS,Bangalore,82650,Petrol,0,2007,165000
Maruti Suzuki Vitara,Pune,23940,Petrol,2,2020,910799
Renault Captur ,Chennai,26678,Petrol,2,2018,722899
Honda WR V,Pune,41342,Diesel,2,2018,809499
Maruti Suzuki Alto,Bangalore,59614,Petrol,1,2013,297399
Maruti Suzuki Alto,Bangalore,39550,Petrol,2,2016,411999
Renault Triber ,Bangalore,28621,Petrol,1,2019,623399
Honda Brio ,Bangalore,60437,Petrol,1,2013,372399
Maruti Suzuki Wagon,Chennai,26598,Petrol,2,2018,518099
Honda Amaze ,Chennai,62723,Petrol,2,2015,485599
Maruti Suzuki Baleno,Chennai,21145,Petrol,2,2017,636899
Hyundai Grand i10,Pune,48699,Petrol,1,2013,396999
Ford Ecosport ,Pune,10102,Petrol,2,2019,980399
Maruti Suzuki Baleno,Bangalore,34881,Petrol,1,2017,658999
Hyundai EON D,Bangalore,53997,Petrol,2,2015,304099
Maruti Suzuki Alto,Bangalore,49076,Petrol,1,2015,362599
Maruti Suzuki Alto,Bangalore,65951,Petrol,2,2014,344199
Maruti Suzuki Swift,Bangalore,116000,Petrol,0,2007,215000
Skoda Rapid 1.5,Bangalore,136000,Diesel,1,2015,550000
Renault Duster 110PS,Pune,85000,Diesel,0,2013,550000
Maruti Suzuki Alto,Chennai,85000,Petrol,0,2001,79000
Chevrolet Aveo ,Chennai,63000,Petrol,0,2007,67000
Ford Ikon ,Chennai,73000,Petrol,0,2009,59000
Maruti Suzuki Wagon,Chennai,85000,Petrol,0,2007,69000
Maruti Suzuki Alto,Bangalore,15032,Petrol,1,2017,462399
Maruti Suzuki Alto,Pune,15575,Petrol,2,2017,319999
Maruti Suzuki Swift,Pune,147819,Diesel,3,2010,275699
Hyundai Grand i10,Bangalore,35203,Petrol,2,2016,501599
Maruti Suzuki Eeco,Bangalore,7597,Petrol,1,2020,506599
Mahindra Scorpio S5,Bangalore,34883,Diesel,1,2018,1198599
Ford Ecosport ,Bangalore,59580,Diesel,2,2017,775499
Maruti Suzuki Ritz,Bangalore,49647,Petrol,2,2011,338999
Hyundai Verna Fluidic,Bangalore,67577,Petrol,2,2016,652699
Tata Tiago ,Bangalore,10890,Petrol,1,2017,535899
Maruti Suzuki Swift,Chennai,57444,Petrol,1,2015,492099
Honda City ,Bangalore,33598,Petrol,2,2017,885999
Ford Freestyle ,Bangalore,17804,Petrol,2,2018,694899
Maruti Suzuki Swift,Pune,62613,Petrol,2,2013,450599
Hyundai i20 Asta,Bangalore,56974,Petrol,2,2010,377999
Datsun Redi GO,Bangalore,1405,Petrol,1,2021,491499
Maruti Suzuki Omni,Chennai,85000,Petrol,0,2008,89000
Hyundai Creta 1.6,Bangalore,8000,Petrol,0,2020,1865000
Datsun GO T,Kolkata,29000,Petrol,0,2014,235000
Mahindra Bolero B6,Bangalore,22000,Diesel,0,2020,1025000
Volkswagen Polo GT,Pune,118000,Petrol,0,2014,450000
Hyundai Creta 1.6,Pondicherry,23000,Diesel,0,2020,1575000
