Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Hyundai i20 Asta,Bangalore,83803,Petrol,1,2011,399999
Maruti Suzuki Ignis,Pune,12916,Petrol,1,2018,462599
Maruti Suzuki Alto,Pune,15575,Petrol,2,2017,319999
Maruti Suzuki Ignis,Madurai,75000,Diesel,0,2017,595000
Audi Q5 2.0,Mumbai,75000,Diesel,0,2014,1850000
Maruti Suzuki SX4,Pune,79000,Petrol,0,2009,210000
Honda Jazz ,Bangalore,92373,Petrol,1,2015,507999
Maruti Suzuki Wagon,Chennai,85000,Petrol,0,2007,69000
Hyundai Venue ,Pune,8924,Petrol,2,2019,986799
Maruti Suzuki Baleno,Chennai,19574,Petrol,2,2018,650599
Maruti Suzuki Baleno,Pune,19775,Petrol,2,2018,718699
Maruti Suzuki Swift,Pune,91830,Petrol,2,2015,474299
Honda City ,Chennai,68000,Petrol,0,2007,97000
Hyundai Santro ,Chennai,85000,Petrol,0,2001,59000
Hyundai Xcent ,Bangalore,79784,Petrol,2,2014,466599
Maruti Suzuki S,Pune,58448,Diesel,1,2018,879699
Maruti Suzuki Eeco,Delhi,70000,CNG,0,2013,250000
Honda Amaze 1.2,Pune,44000,Petrol,0,2013,425000
Maruti Suzuki Vitara,Pune,70000,Diesel,0,2019,1000000
Maruti Suzuki S,Pune,59341,Diesel,2,2017,1032099
Hyundai i20 Asta,Pune,52000,Petrol,0,2012,385000
Volkswagen Vento ,Pune,34178,Petrol,1,2017,881099
Tata Tiago ,Chennai,23499,Petrol,2,2018,476299
Maruti Suzuki Swift,Chennai,32516,Petrol,2,2016,579199
Ford EcoSport Titanium,Bangalore,43077,Petrol,2,2016,755099
Maruti Suzuki Alto,Bangalore,51573,Petrol,2,2015,319399
Hyundai i20 Sportz,Chennai,98500,Petrol,0,2009,225000
Hyundai Grand i10,Chennai,95999,Petrol,2,2016,509699
Audi Q3 ,Chennai,73656,Diesel,1,2015,1656999
Maruti Suzuki Alto,Bangalore,37801,Petrol,3,2017,300199
Renault Kwid RxL,Chennai,19908,Petrol,3,2016,294799
Hyundai Elite i20,Bangalore,26000,Petrol,0,2016,735000
Hyundai Elite i20,Pune,30232,Diesel,2,2018,704399
Maruti Suzuki Swift,Bangalore,60214,Diesel,2,2018,748599
Maruti Suzuki Ertiga,Chennai,60123,Petrol,0,2017,785000
Volkswagen Polo ,Chennai,87375,Diesel,1,2014,414099
Maruti Suzuki XL6,Pune,13829,Petrol,2,2019,1113299
Jeep Compass ,Pune,19830,Petrol,2,2019,1987699
Maruti Suzuki Swift,Chennai,95731,Petrol,2,2015,454299
Honda Amaze ,Chennai,44266,Petrol,2,2018,723799
Honda Jazz ,Pune,46201,Petrol,1,2016,495799
Hyundai i10 Magna,Bangalore,65000,Petrol,1,2014,229000
Tata Aria Prestige,Bangalore,115000,Diesel,0,2012,450000
Toyota Yaris ,Pune,3243,Petrol,2,2021,1141999
Maruti Suzuki Eeco,Chennai,32372,Petrol,1,2019,493899
Kia Carnival ,Chennai,50000,Diesel,1,2020,1500000
Maruti Suzuki Baleno,Pune,34763,Petrol,2,2017,642899
Maruti Suzuki Wagon,Pune,33103,Petrol,1,2014,349999
Maruti Suzuki Baleno,Chennai,51125,Petrol,1,2017,598299
Hyundai Elite i20,Chennai,50050,Petrol,2,2016,534799
Maruti Suzuki Wagon,Pune,25483,Petrol,2,2017,466599
Maruti Suzuki Dzire,Pune,29594,Petrol,2,2019,680699
Maruti Suzuki Ertiga,Kolkata,53000,Diesel,0,2013,425000
Kia Seltos ,Pune,20989,Petrol,2,2019,1517999
Renault Triber ,Pune,9783,Petrol,2,2019,673599
Maruti Suzuki Ignis,Pune,33166,Petrol,2,2017,511799
Hyundai Elite i20,Chennai,48031,Petrol,2,2018,624799
Hyundai Getz ,Chennai,73000,Petrol,0,2006,119000
Honda City 1.5,Kolkata,700,Petrol,1,2020,990888
Maruti Suzuki Ertiga,Madurai,40000,Petrol,0,2019,1100000
Ford Ecosport ,Chennai,85860,Petrol,2,2015,566199
Toyota Fortuner 3.0,Chennai,155000,Diesel,0,2015,1750000
Hyundai i20 Sportz,Pune,67000,Petrol,0,2014,415000
Skoda Rapid ,Pune,91917,Diesel,2,2016,627499
Hyundai Creta S,Pune,17814,Diesel,2,2020,1460099
Maruti Suzuki Dzire,Bangalore,22854,Petrol,2,2018,710199
Honda City ,Bangalore,46312,Petrol,2,2019,924599
Maruti Suzuki Celerio,Bangalore,45260,Petrol,2,2017,510499
Volkswagen Vento Highline,Pune,66000,Petrol,0,2015,575000
Hyundai Getz GLS,Bangalore,82650,Petrol,0,2007,165000
Renault Kwid RxL,Bangalore,17357,Petrol,2,2019,422299
Maruti Suzuki Wagon,Bangalore,65000,Petrol,0,2015,349000
Honda Amaze ,Pune,43412,Petrol,1,2015,492199
Tata Hexa ,Muzaffarnagar,85000,Diesel,0,2019,1500000
Maruti Suzuki Baleno,Chennai,41019,Petrol,2,2016,592099
Maruti Suzuki Ignis,Chennai,18113,Petrol,2,2018,548699
Hyundai Grand i10,Chennai,60985,Petrol,1,2017,525099
Toyota Corolla Altis,Pune,34919,Petrol,1,2017,1252999
Hyundai Grand i10,Chennai,54696,Petrol,2,2018,539799
Hyundai Elite i20,Chennai,81412,Petrol,2,2016,517499
Hyundai Elite i20,Pune,40106,Diesel,2,2019,844999
Maruti Suzuki Alto,Chennai,43700,Petrol,2,2019,431599
Maruti Suzuki Swift,Madurai,44000,Diesel,0,2019,825000
Maruti Suzuki Vitara,Pune,34566,Diesel,2,2019,838699
Kia Seltos ,Pune,20547,Petrol,2,2019,1764199
Honda Jazz ,Chennai,37070,Petrol,1,2017,649699
Tata Indica ,Chennai,85000,Diesel,0,2007,69000
Maruti Suzuki Ertiga,Pune,83000,Petrol,0,2014,625000
Maruti Suzuki Swift,Bangalore,31011,Petrol,2,2010,357499
Maruti Suzuki Baleno,Pune,30249,Petrol,2,2017,640999
Nissan Micra XE,Bhubaneswar,40000,Petrol,0,2011,199000
Jeep Compass Limited,Jagdalpur,31000,Diesel,1,2017,1750000
Renault Triber ,Pune,3108,Petrol,2,2021,770999
Maruti Suzuki Omni,Chennai,85000,Petrol,0,2008,89000
Toyota Fortuner 3.0,Bangalore,131000,Diesel,0,2012,1375000
Datsun GO T,Kolkata,29000,Petrol,0,2014,235000
Renault Kwid ,Bangalore,40650,Petrol,1,2018,457099
Honda Amaze ,Pune,44940,Petrol,0,2013,393699
Tata Hexa ,Chennai,34533,Diesel,2,2019,1952199
Hyundai Verna 1.6,Pune,52439,Petrol,2,2017,852399
Honda City ZX,Dwarka,54000,CNG,1,2018,1069999
Maruti Suzuki Baleno,Pune,16002,Petrol,2,2019,675799
Maruti Suzuki Wagon,Chennai,30418,Petrol,2,2014,418999
Maruti Suzuki Swift,Pune,147819,Diesel,3,2010,275699
Maruti Suzuki Wagon,Pune,38766,Petrol,2,2014,357399
Hyundai EON Era,Chennai,33882,Petrol,2,2017,349799
Mahindra KUV100 K6,Bangalore,58640,Diesel,1,2016,508799
Maruti Suzuki Wagon,Bangalore,56000,Petrol,0,2017,475000
Maruti Suzuki Alto,Kolkata,55000,Petrol,1,2011,185000
Honda City 1.5,Lucknow,195000,Petrol,2,2001,73000
Mahindra Thar DI,Chennai,9826,Petrol,0,2021,1790000
Maruti Suzuki Swift,Chennai,59839,Petrol,2,2017,562399
Honda Amaze ,Chennai,62723,Petrol,2,2015,485599
MG Motors Hector,Pune,24887,Petrol,2,2020,1838399
Maruti Suzuki Swift,Chennai,61717,Petrol,3,2013,410199
Hyundai Grand i10,Chennai,69526,Petrol,2,2016,531399
Toyota Innova 2.5,Hyderabad,141000,Diesel,0,2011,445000
